Year,Team,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,npxG,npxG/Sh,G-xG,np:G-xG,SoTA,Saves,Save%,CS,PSxG,PSxG+/-,PKA,PKsv,PKm,Cmp,Att,Cmp%,Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
2019,Crystal Palace,2023-02-18,12:30,Premier League,Matchweek 24,Sat,Away,,,,Aston Villa,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Crystal Palace,2023-02-25,15:00,Premier League,Matchweek 25,Sat,Away,,,,Leicester City,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Crystal Palace,2023-03-04,15:00,Premier League,Matchweek 26,Sat,Home,,,,Bournemouth,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Crystal Palace,2023-03-12,14:00,Premier League,Matchweek 27,Sun,Away,,,,Fulham,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Crystal Palace,2023-03-19,14:00,Premier League,Matchweek 28,Sun,Home,,,,Crystal Palace,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Crystal Palace,2023-04-01,15:00,Premier League,Matchweek 29,Sat,Home,,,,Leeds United,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Crystal Palace,2023-04-08,15:00,Premier League,Matchweek 30,Sat,Away,,,,Liverpool,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Crystal Palace,2023-04-15,15:00,Premier League,Matchweek 31,Sat,Away,,,,West Ham,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Crystal Palace,2023-04-22,15:00,Premier League,Matchweek 32,Sat,Home,,,,Southampton,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Crystal Palace,2023-04-26,20:00,Premier League,Matchweek 33,Wed,Away,,,,Manchester City,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Crystal Palace,2023-04-29,15:00,Premier League,Matchweek 34,Sat,Home,,,,Chelsea,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Crystal Palace,2023-05-06,15:00,Premier League,Matchweek 35,Sat,Away,,,,Newcastle Utd,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Crystal Palace,2023-05-13,15:00,Premier League,Matchweek 36,Sat,Home,,,,Brighton,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Crystal Palace,2023-05-20,15:00,Premier League,Matchweek 37,Sat,Away,,,,Nott'ham Forest,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Crystal Palace,2023-05-28,15:00,Premier League,Matchweek 38,Sun,Home,,,,Wolves,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Crystal Palace,2022-07-30,17:00,Community Shield,FA Community Shield,Sat,Neutral,L,1.0,3.0,Liverpool,,,57.0,,Rúben Dias,4-3-3,Craig Pawson,Match Report,,1.0,14.0,8.0,57.1,0.07,0.13,,,0.0,0.0,,,,,3.0,1.0,33.3,,,,1.0,0.0,0.0,,,,,,,,,,,
